event_id,event_name,event_location,event_date
1,Annual Tournament Alpha,City Hall Plaza,2024-04-01
2,New Player Orientation Omega,DCU Center,2024-07-20
3,Skills Workshop Omega,City Hall Plaza,2024-09-18
4,Winter Warm-up Gamma,Online,2025-07-09
5,Community Meetup Alpha,Community Center,2024-11-09
6,Skills Workshop Omega,Mechanics Hall,2024-12-29
7,Spring Championship Omega,Online,2024-12-12
8,Winter Warm-up Omega,Online,2025-12-18
9,Summer League Finals Delta,Community Center,2024-10-22
10,Charity Gala Beta,University Arena,2024-04-25